[2018-11-04T13:52:08.244] [INFO] default - [undefined GET /codeplay/static/snap/manykit/playersharecloud.js 200 3ms][https://manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
[2018-11-04T13:52:08.353] [INFO] default - [undefined GET /codeplay/static/snap/FileSaver.min.js 200 1ms][https://manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
[2018-11-04T13:52:08.363] [INFO] default - [undefined GET /codeplay/static/snap/manykit/base64.js 200 3ms][https://manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
[2018-11-04T13:52:08.364] [INFO] default - [undefined GET /codeplay/static/snap/player.png 200 3ms][https://manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
[2018-11-04T13:52:09.088] [INFO] default - [::1 GET /res/verify 200 1ms][https://manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
[2018-11-04T13:52:09.203] [INFO] default - [undefined GET /codeplay/static/snap/manykit/manykit.png 200 5ms][https://manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1]
[2018-11-04T14:07:50.134] [INFO] default - [::1 GET /res/thirdlogin 200 1ms][ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-11-04T14:07:57.847] [INFO] default - [::ffff:127.0.0.1 GET /res/getverifycode 500 3ms][ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-11-04T14:08:48.773] [INFO] default - [::1 GET /api/material/modulelist 200 2ms][ HTTP/1.0 Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2018-11-04T14:46:03.113] [INFO] default - [::ffff:127.0.0.1 GET /res/verify 200 1ms][https://manykit.com/robot/ HTTP/1.0 Mozilla/5.0 (Linux; Android 8.0.0; MI 6 Build/OPR1.170623.027) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Mobile Safari/537.36]
[2018-11-04T14:47:17.142] [INFO] default - [::1 GET /res/verify 200 1ms][https://www.manykit.com/robot/ HTTP/1.0 Mozilla/5.0 (Linux; Android 8.0.0; MI 6 Build/OPR1.170623.027) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Mobile Safari/537.36]
[2018-11-04T14:47:23.599] [INFO] default - [undefined GET /res/verify 304 1ms][https://www.manykit.com/robot/ HTTP/1.0 Mozilla/5.0 (Linux; Android 8.0.0; MI 6 Build/OPR1.170623.027) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Mobile Safari/537.36]
[2018-11-04T18:31:45.518] [INFO] default - [undefined GET /codeplay/static/snap/playersharesnap.html 200 2ms][http://www.manykit.com/codeplay/static/snap/playersharesnap.html HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G35 QQ/6.5.3.410 V1_IPH_SQ_6.5.3_1_APP_A Pixel/750 Core/UIWebView NetType/2G Mem/117]
[2018-11-04T20:53:52.056] [INFO] default - [::ffff:127.0.0.1 POST /api/material/modulelist 500 4ms][https://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16A404 wxwork/2.6.1 MicroMessenger/6.3.22 Language/zh]
[2018-11-04T20:53:52.259] [INFO] default - [::1 POST /res/filelist 200 164ms][https://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16A404 wxwork/2.6.1 MicroMessenger/6.3.22 Language/zh]
[2018-11-04T20:53:52.958] [INFO] default - [::ffff:127.0.0.1 GET /res/verify 200 2ms][https://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (iPhone; CPU iPhone OS 12_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16A404 wxwork/2.6.1 MicroMessenger/6.3.22 Language/zh]
[2018-11-04T21:44:22.871] [INFO] default - [::1 POST /api/material/modulelist 500 4ms][https://manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.6776.400 QQBrowser/10.3.2577.400]
[2018-11-04T21:44:23.240] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 160ms][https://manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.6776.400 QQBrowser/10.3.2577.400]
[2018-11-04T21:44:24.269] [INFO] default - [::1 GET /res/verify 200 1ms][https://manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.6776.400 QQBrowser/10.3.2577.400]
[2018-11-04T21:44:29.160] [INFO] default - [::ffff:127.0.0.1 POST /api/material/modulelist 500 4ms][https://manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.6776.400 QQBrowser/10.3.2577.400]
[2018-11-04T21:44:29.362] [INFO] default - [::1 POST /res/filelist 200 141ms][https://manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.6776.400 QQBrowser/10.3.2577.400]
[2018-11-04T21:44:30.534] [INFO] default - [undefined GET /res/verify 304 2ms][https://manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.6776.400 QQBrowser/10.3.2577.400]
[2018-11-04T21:44:42.965] [INFO] default - [::1 POST /api/material/modulelist 500 3ms][https://manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.6776.400 QQBrowser/10.3.2577.400]
[2018-11-04T21:44:43.169] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 165ms][https://manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.6776.400 QQBrowser/10.3.2577.400]
[2018-11-04T21:44:44.185] [INFO] default - [undefined GET /res/verify 304 2ms][https://manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.6776.400 QQBrowser/10.3.2577.400]
[2018-11-04T21:53:09.815] [INFO] default - [::ffff:127.0.0.1 GET /codeplay 301 2ms][ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.6776.400 QQBrowser/10.3.2577.400]
[2018-11-04T21:53:09.901] [INFO] default - [undefined GET /codeplay/ 200 2ms][ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.6776.400 QQBrowser/10.3.2577.400]
[2018-11-04T21:53:09.990] [INFO] default - [undefined GET /codeplay/static/js/manifest.bf27ebb7a9d868607c53.js 200 3ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.6776.400 QQBrowser/10.3.2577.400]
[2018-11-04T21:53:09.994] [INFO] default - [::ffff:127.0.0.1 GET /codeplay/static/css/app.29d1e45f80fb43a80cdf1683a14d2db7.css 200 7ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.6776.400 QQBrowser/10.3.2577.400]
[2018-11-04T21:53:10.024] [INFO] default - [undefined GET /codeplay/static/js/vendor.93538bf508ed5f4069e2.js 200 9ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.6776.400 QQBrowser/10.3.2577.400]
[2018-11-04T21:53:10.043] [INFO] default - [undefined GET /codeplay/static/js/app.b214dc3a1d874a29be87.js 200 2ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.6776.400 QQBrowser/10.3.2577.400]
[2018-11-04T21:53:11.085] [INFO] default - [undefined GET /codeplay/static/js/6.de878bba405860d223d9.js 200 3ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.6776.400 QQBrowser/10.3.2577.400]
[2018-11-04T21:53:11.087] [INFO] default - [undefined GET /codeplay/static/js/8.604ea9d35740161ac5ee.js 200 3ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.6776.400 QQBrowser/10.3.2577.400]
[2018-11-04T21:53:11.093] [INFO] default - [::1 GET /codeplay/static/js/0.aaa689a23396e7f20311.js 200 10ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.6776.400 QQBrowser/10.3.2577.400]
[2018-11-04T21:53:11.756] [INFO] default - [undefined GET /codeplay/static/left-up.png 200 5ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.6776.400 QQBrowser/10.3.2577.400]
[2018-11-04T21:53:11.758] [INFO] default - [undefined GET /codeplay/static/right.png 200 6ms][https://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.26 Safari/537.36 Core/1.63.6776.400 QQBrowser/10.3.2577.400]
