[2018-10-08T10:09:40.998] [INFO] default - [undefined GET /codeplay/static/img/book1.a3bcb0f.png 200 12ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:41.002] [INFO] default - [undefined GET /codeplay/static/right.png 200 5ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:41.003] [INFO] default - [undefined GET /codeplay/static/img/book2.7c65446.png 200 3ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:41.005] [INFO] default - [::1 GET /codeplay/static/img/book3.5c42697.png 200 5ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:41.009] [INFO] default - [undefined GET /codeplay/static/1.png 200 10ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:41.173] [INFO] default - [::1 POST /res/filelist 200 106ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:41.218] [INFO] default - [undefined GET /res/verify 304 44ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:41.314] [INFO] default - [::1 POST /res/filelist 200 95ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:41.321] [INFO] default - [undefined GET /codeplay/static/img/shopbook.88b0b0d.png 200 4ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:41.323] [INFO] default - [undefined GET /codeplay/static/img/book4.ed62f8a.png 200 7ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:41.389] [INFO] default - [undefined GET /codeplay/static/img/qr_code01.1707b53.jpg 200 3ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:41.463] [INFO] default - [undefined GET /codeplay/static/img/qr_code02.f1cd7b4.jpg 200 4ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:47.699] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 93ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:09:48.269] [INFO] default - [undefined GET /res/verify 304 0ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:10:29.450] [INFO] default - [undefined GET /model/ 200 15ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:10:29.526] [INFO] default - [undefined GET /model/static/js/manifest.0ecb24c1e9ce5372a1b4.js 304 3ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:10:29.528] [INFO] default - [undefined GET /model/static/js/app.7ce6592f211aa931aa58.js 304 2ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:10:29.529] [INFO] default - [undefined GET /model/static/js/vendor.0437df50d3fbb8bf32f8.js 304 4ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:10:29.558] [INFO] default - [undefined GET /model/static/css/app.b1626dbfe0e4e0f0074cc5225d242494.css 200 24ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:10:29.828] [INFO] default - [undefined GET /model/static/js/0.99d63549bc2dce53da4c.js 304 2ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T10:10:29.839] [INFO] default - [undefined GET /model/static/js/5.63f7eb38bcb6a4b790e5.js 304 2ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
