[2018-09-29T09:54:13.329] [INFO] default - [undefined GET /codeplay/static/img/qr_code02.f1cd7b4.jpg 304 3ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T09:54:24.814] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 87ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:04:06.959] [INFO] default - [::1 POST /res/filelist 200 108ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:08:29.602] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 114ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:08:32.419] [INFO] default - [::1 GET /model 301 2ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:08:32.474] [INFO] default - [undefined GET /model/ 200 3ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:08:32.632] [INFO] default - [::1 GET /model/static/css/app.cb48f5da6a3b5c930a85e6c3faafb118.css 200 64ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:08:32.633] [INFO] default - [::ffff:127.0.0.1 GET /model/static/js/manifest.1a8e23dd936d23f42e1c.js 200 65ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:08:32.685] [INFO] default - [undefined GET /model/static/js/app.cbb2b4ec195d1e6f7c1d.js 200 67ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:08:32.720] [INFO] default - [::1 GET /model/static/js/vendor.e949bae7761f4f97f58c.js 200 103ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
